conv,linear,batch norm,activation,pooling
118431416320.0,0.0,0.0,12845056.0,0.0
1387868160.0,0.0,0.0,12845056.0,0.0
2408448.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
0.0,0.0,0.0,12845056.0,0.0
